Track_id_org,Track_id,Gene_Name,Locus,Strand,Gene_Type,log2FC,Fold_Change,p_value,q_value,Test_FPKM,Control_FP,HOXD9-1,HOXD9-2,HOXD9-3,Vector-1,Vector-2,Vector-3,Upregulated
ENSG00000011523.13_3,ENSG00000011523.13,CEP68,chr2:652835,+,protein_coding,-0.431434,0.7415242,0.0026802,0.1614437,1.4928504,1.9242847,1.9996181,1.8162044,1.6390531,2.9963578,2.7047381,2.6930092,0
ENSG00000016864.18_3,ENSG00000016864.18,GLT8D1,chr3:527285,-,protein_coding,-0.283217,0.8217566,0.0372316,0.3067727,2.2704488,2.5536659,3.551334,3.9380941,3.9971404,4.6744865,4.4375612,5.559328,0
ENSG00000018408.14_3,ENSG00000018408.14,WWTR1,chr3:149235,-,protein_coding,-0.353551,0.7826554,0.0087757,0.2115899,1.8923768,2.2459277,2.6087652,2.7947336,2.7363422,3.5011615,3.5318087,4.232131,0
ENSG00000018610.13_2,ENSG00000018610.13,CXorf56,chrX:11867,-,protein_coding,0.3833051,1.3043266,0.0446634,0.3195842,4.1172441,3.733939,17.917775,17.772213,13.718259,11.373716,12.35404,13.255095,1
ENSG00000023287.12_3,ENSG00000023287.12,RB1CC1,chr8:535350,-,protein_coding,-0.426785,0.7439177,0.0466707,0.3240376,2.7927901,3.2195752,6.5047272,6.4113979,4.9828176,7.0965209,9.3838633,8.6141026,0
ENSG00000028203.17_2,ENSG00000028203.17,VEZT,chr12:95611,+,protein_coding,-0.302997,0.8105666,0.0141833,0.2399539,2.6083211,2.9113184,5.0995395,5.4979315,4.72106,6.0205982,6.7512541,6.8241362,0
ENSG00000029725.16_3,ENSG00000029725.16,RABEP1,chr17:51855,+,protein_coding,-0.330197,0.7954277,0.0067998,0.204539,3.1186111,3.4488083,8.0086789,7.707428,7.3528651,9.7110636,10.766843,9.329796,0
ENSG00000033030.13_2,ENSG00000033030.13,ZCCHC8,chr12:12295,-,protein_coding,-0.292449,0.8165148,0.0200249,0.2575012,2.2646033,2.5570523,3.9897788,4.0928161,3.366176,4.660417,5.1569969,4.8483177,0
ENSG00000033170.16_3,ENSG00000033170.16,FUT8,chr14:65877,+,protein_coding,-0.33364,0.7935319,0.0486392,0.327235,2.5735198,2.9071597,5.6466529,4.9923853,4.2956253,6.3348849,7.2527166,5.9732715,0
ENSG00000035928.15_3,ENSG00000035928.15,RFC1,chr4:392890,-,protein_coding,-0.332848,0.7939675,0.0412287,0.3138435,3.4001174,3.7329654,10.39921,10.203083,8.2129695,11.480414,13.195078,12.268961,0
ENSG00000038219.12_2,ENSG00000038219.12,BOD1L1,chr4:135703,-,protein_coding,-0.409065,0.7531115,0.0304005,0.2906274,2.1081858,2.5172504,3.4967045,3.7870213,2.7232463,4.4294797,5.2179044,4.5577808,0
ENSG00000042286.14_2,ENSG00000042286.14,AIFM2,chr10:71857,-,protein_coding,0.3551656,1.2791324,0.0007695,0.1159361,3.8718376,3.5166719,13.860356,14.184393,12.905644,10.520372,10.43366,10.382022,1
ENSG00000046604.12_2,ENSG00000046604.12,DSG2,chr18:29078,+,protein_coding,-0.33287,0.7939552,0.0440056,0.318365,5.3314232,5.6642936,42.632539,41.824699,33.934144,47.849709,53.425457,48.057206,0
ENSG00000047188.15_2,ENSG00000047188.15,YTHDC2,chr5:112849,+,protein_coding,-0.334962,0.792805,0.0428168,0.3153643,2.121867,2.456829,3.8902705,3.3826224,2.8474228,4.3416513,4.9225325,4.230638,0
ENSG00000053372.4_2,ENSG00000053372.4,MRTO4,chr1:195780,+,protein_coding,0.2937256,1.2258017,0.0156919,0.2474439,5.0752127,4.7814871,30.40742,33.574339,34.284796,28.384358,25.022684,26.204755,1
ENSG00000054282.15_2,ENSG00000054282.15,SDCCAG8,chr1:243419,+,protein_coding,-0.365243,0.776338,0.0417708,0.3140442,1.90952,2.2747632,2.9450922,2.9023786,2.4441483,3.2309433,4.4564963,3.9086807,0
ENSG00000054654.16_3,ENSG00000054654.16,SYNE2,chr14:64319,+,protein_coding,-0.530366,0.692379,0.0203089,0.2588284,2.6588075,3.1891736,5.5711823,6.0202274,4.4594349,7.3467743,9.3194943,7.8091432,0
ENSG00000059804.15_2,ENSG00000059804.15,SLC2A3,chr12:80718,-,protein_coding,0.3231216,1.2510345,0.009581,0.2144024,4.2252243,3.9021027,19.105253,17.629682,16.467984,14.699113,13.394734,13.786695,1
ENSG00000060642.10_3,ENSG00000060642.10,PIGV,chr1:271139,+,protein_coding,-0.375386,0.770899,0.0387842,0.3100145,1.7550477,2.1304339,2.5654515,2.0338812,2.5551089,3.7798857,3.5780583,2.8359653,0
ENSG00000064692.18_3,ENSG00000064692.18,SNCAIP,chr5:121647,+,protein_coding,-0.386642,0.7649081,0.0015691,0.1419323,1.7759373,2.1625789,2.5229064,2.4695064,2.2859607,3.5520542,3.6502017,3.2395923,0
ENSG00000065060.16_2,ENSG00000065060.16,UHRF1BP1,chr6:347597,+,protein_coding,-0.471637,0.7211458,0.0001992,0.0943724,2.9416732,3.4133103,6.5204947,6.9591166,6.576774,9.8259231,9.2848053,9.8608877,0
ENSG00000065361.14_3,ENSG00000065361.14,ERBB3,chr12:56473,+,protein_coding,-0.287966,0.8190559,0.0083275,0.210149,3.4992164,3.7871826,10.243316,10.228876,10.451876,13.97374,12.218235,12.294222,0
ENSG00000065911.11_2,ENSG00000065911.11,MTHFD2,chr2:744256,+,protein_coding,-0.681438,0.6235433,0.0018721,0.1515851,4.4561161,5.1375545,22.585603,21.980429,18.510514,32.45711,34.860137,35.355796,0
ENSG00000065989.15_2,ENSG00000065989.15,PDE4A,chr19:10527,+,protein_coding,-0.38659,0.7649353,0.034242,0.2993278,1.9480537,2.334644,2.6646592,3.5086629,2.4768538,3.7860881,4.0482079,4.3122155,0
ENSG00000066739.11_2,ENSG00000066739.11,ATG2B,chr14:96745,-,protein_coding,-0.368419,0.7746307,0.0213821,0.2625473,1.5645258,1.9329452,2.1084406,2.1364477,1.6541589,2.5239602,3.093883,2.858842,0
ENSG00000068079.7_2,ENSG00000068079.7,IFI35,chr17:41158,+,protein_coding,0.3801399,1.3014681,0.0184868,0.2558547,2.9721264,2.5919864,7.4424897,5.9066198,7.2863158,5.2676345,5.07257,4.7586517,1
ENSG00000068724.15_3,ENSG00000068724.15,TTC7A,chr2:471432,+,protein_coding,0.3824592,1.303562,0.0019601,0.1522433,4.0552362,3.672777,15.938291,14.688438,16.289957,11.631549,11.350257,12.295831,1
ENSG00000068796.16_3,ENSG00000068796.16,KIF2A,chr5:616019,+,protein_coding,-0.488504,0.7127638,0.0493954,0.3291951,3.5887867,4.0772908,12.153932,11.406836,9.6728576,12.838142,18.692004,16.651956,0
ENSG00000069535.13_2,ENSG00000069535.13,MAOB,chrX:43625,-,protein_coding,0.4263498,1.3438292,0.0049969,0.1891494,1.8614817,1.4351319,2.3382786,2.8016455,2.7808659,1.5482335,1.8352093,1.7367107,1
ENSG00000069869.15_2,ENSG00000069869.15,NEDD4,chr15:56119,-,protein_coding,-0.334937,0.7928189,0.0436389,0.3171923,1.7843051,2.1192419,2.7431119,2.616929,2.0186672,3.0970421,3.7320536,3.2300552,0
ENSG00000070047.11_2,ENSG00000070047.11,PHRF1,chr11:57648,+,protein_coding,0.3207836,1.2490087,0.0123109,0.2343664,4.5833582,4.2625746,22.834226,21.510079,24.680698,19.556638,17.563947,17.529601,1
ENSG00000070526.14_3,ENSG00000070526.14,ST6GALNAC1,chr17:74620,-,protein_coding,-0.378122,0.7694386,0.0249759,0.2761127,1.5622758,1.9403977,2.1026671,2.1117148,1.6677226,3.1218557,2.4438838,2.9830196,0
ENSG00000070669.16_3,ENSG00000070669.16,ASNS,chr7:974814,-,protein_coding,-0.53805,0.688701,0.0121943,0.2337722,3.546733,4.0847833,11.330232,10.411335,10.342567,16.750736,13.485876,18.000532,0
ENSG00000074071.14_3,ENSG00000074071.14,MRPS34,chr16:18218,-,protein_coding,0.3068731,1.2370237,0.0185697,0.2558547,6.3427185,6.0358454,76.859945,79.099802,84.723526,70.853404,60.181283,63.245923,1
ENSG00000074935.13_2,ENSG00000074935.13,TUBE1,chr6:112391,-,protein_coding,-0.422224,0.7462731,0.0005737,0.1106916,0.7857491,1.2079734,0.8133792,0.6987968,0.6633057,1.250529,1.3229978,1.358171,0
ENSG00000075151.20_3,ENSG00000075151.20,EIF4G3,chr1:211327,-,protein_coding,-0.298256,0.8132347,0.0106697,0.2227482,3.6570612,3.9553175,11.826607,12.246086,10.815607,14.165587,15.48003,13.93449,0
ENSG00000076554.15_4,ENSG00000076554.15,TPD52,chr8:809469,-,protein_coding,-0.285525,0.8204432,0.0417569,0.3140442,2.0520804,2.337605,3.4344636,3.0346897,2.9862269,3.5510622,4.106173,4.5572424,0
ENSG00000077713.18_3,ENSG00000077713.18,SLC25A43,chrX:11853,+,protein_coding,-0.371962,0.7727312,0.0089922,0.2129568,1.6537153,2.0256768,1.9929515,2.1509083,2.3030738,3.3358431,3.1849361,2.7205408,0
ENSG00000078403.16_3,ENSG00000078403.16,MLLT10,chr10:21813,+,protein_coding,-0.316409,0.8030665,0.0165437,0.2498875,2.8144106,3.1308193,6.6145803,6.105331,5.4333293,7.4629654,8.2103447,7.6221017,0
ENSG00000079112.9_3,ENSG00000079112.9,CDH17,chr8:951393,-,protein_coding,-0.352972,0.7829695,0.0496038,0.3295165,6.367931,6.720903,92.609559,82.694794,70.911124,98.722489,113.88735,101.45068,0
ENSG00000081386.12_2,ENSG00000081386.12,ZNF510,chr9:995181,-,protein_coding,-0.286672,0.819791,0.0463245,0.3235065,1.851434,2.1381059,2.9556569,2.6361219,2.2670398,3.2056924,3.7904522,3.2333872,0
ENSG00000082269.16_3,ENSG00000082269.16,FAM135A,chr6:711226,+,protein_coding,-0.274831,0.8265473,0.0418976,0.3142218,2.1635687,2.4383994,3.9168543,3.5285202,3.038811,4.1168216,4.4925498,4.6665637,0
ENSG00000082482.13_3,ENSG00000082482.13,KCNK2,chr1:215179,+,protein_coding,-0.524292,0.6953001,0.0373452,0.3070134,1.2064763,1.7307686,1.2985049,1.5137244,1.1271279,1.683881,2.8239997,2.5625314,0
ENSG00000082512.14_2,ENSG00000082512.14,TRAF5,chr1:211499,+,protein_coding,-0.345555,0.7870049,0.017557,0.2506617,1.4384254,1.7839808,1.9662092,1.6859583,1.4987713,2.3161338,2.7014702,2.3272766,0
ENSG00000083535.15_3,ENSG00000083535.15,PIBF1,chr13:73356,+,protein_coding,-0.281417,0.8227823,0.0164421,0.249764,1.3472006,1.6286179,1.5805348,1.6906646,1.3717784,2.0968268,2.2663426,1.9228727,0
ENSG00000083812.11_3,ENSG00000083812.11,ZNF324,chr19:58978,+,protein_coding,0.4087313,1.3275179,0.0012572,0.1379943,1.9373553,1.5286241,2.8784011,2.5907631,3.0342863,1.9180166,1.890316,1.847423,1
ENSG00000084207.15_2,ENSG00000084207.15,GSTP1,chr11:67351,+,protein_coding,0.2796048,1.2138623,0.0280637,0.2866074,7.4487946,7.1691898,172.80606,163.97676,184.97055,132.43714,141.89985,155.35618,1
ENSG00000085224.21_4,ENSG00000085224.21,ATRX,chrX:76760,-,protein_coding,-0.444601,0.7347873,0.0241263,0.2713447,1.4175463,1.8621478,1.6809097,1.7875872,1.5507108,2.1692193,3.2256575,2.5879008,0
ENSG00000085433.15_3,ENSG00000085433.15,WDR47,chr1:109512,-,protein_coding,-0.308919,0.8072464,0.0491686,0.3287423,1.7974181,2.1063371,2.7641107,2.4717963,2.2137619,3.4570293,3.688946,2.8202453,0
ENSG00000085662.13_2,ENSG00000085662.13,AKR1B1,chr7:134127,-,protein_coding,0.3182418,1.2468102,0.0057151,0.1954316,5.8603614,5.5421195,59.269449,52.919957,59.337446,46.66953,44.095904,46.060301,1
ENSG00000085760.14_2,ENSG00000085760.14,MTIF2,chr2:554637,-,protein_coding,-0.282365,0.822242,0.010966,0.2246724,2.7031508,2.9855159,5.4290493,5.669371,5.4410515,6.363129,7.5161702,6.9228744,0
ENSG00000085978.21_2,ENSG00000085978.21,ATG16L1,chr2:234118,+,protein_coding,0.6506059,1.5698273,0.0024238,0.1571562,3.1857857,2.5351798,8.4038814,7.0127088,8.9991859,4.8473093,4.7857586,4.7567732,1
ENSG00000087076.8_3,ENSG00000087076.8,HSD17B14,chr19:49316,-,protein_coding,-0.34219,0.7888432,0.0258415,0.2789399,0.3041361,0.6463257,0.1885761,0.2652963,0.2515351,0.7255633,0.3808796,0.6091761,0
ENSG00000087077.13_3,ENSG00000087077.13,TRIP6,chr7:100464,+,protein_coding,0.2949621,1.2268527,0.0405895,0.3138435,6.0368579,5.7418958,57.78043,64.348774,72.681031,53.123124,54.100317,50.393911,1
ENSG00000087095.12_2,ENSG00000087095.12,NLK,chr17:26368,+,protein_coding,-0.419565,0.7476499,0.0078129,0.2082114,3.6855753,4.1051405,12.574038,11.788883,11.270561,14.786872,17.838079,16.138729,0
ENSG00000088256.8_2,ENSG00000088256.8,GNA11,chr19:30944,+,protein_coding,0.3671031,1.2897604,0.0210558,0.2621516,4.1960191,3.828916,16.556936,16.795715,18.706915,11.743266,14.575094,13.459202,1
ENSG00000088833.17_3,ENSG00000088833.17,NSFL1C,chr20:14228,-,protein_coding,0.2983751,1.2297585,0.0045133,0.1849138,4.777569,4.479194,27.048192,25.880022,26.367825,22.593582,21.396827,19.995917,1
ENSG00000089682.16_2,ENSG00000089682.16,RBM41,chrX:10630,-,protein_coding,-0.392294,0.7619174,0.0195308,0.2575012,1.1956663,1.5879598,1.4483455,1.3476058,1.0907227,1.6966595,2.1899609,2.158342,0
ENSG00000089775.11_2,ENSG00000089775.11,ZBTB25,chr14:64915,-,protein_coding,-0.387636,0.7643809,0.0173203,0.2504633,1.2122982,1.5999344,1.445109,1.4541036,1.0731141,2.260234,2.0103673,1.8380269,0
ENSG00000090097.21_3,ENSG00000090097.21,PCBP4,chr3:519914,-,protein_coding,-0.443483,0.7353571,0.0115479,0.2297054,2.7500175,3.1935006,5.3854733,5.4111136,6.4368101,9.0737739,7.7633705,7.6727138,0
ENSG00000090266.12_4,ENSG00000090266.12,NDUFB2,chr7:140390,+,protein_coding,0.2751519,1.2101215,0.027325,0.2840194,3.5355138,3.2603619,11.015259,9.8589575,10.949943,9.486465,8.2575275,8.0630853,1
ENSG00000090382.6_2,ENSG00000090382.6,LYZ,chr12:69742,+,protein_coding,-0.599944,0.6597797,0.0034854,0.1738952,1.3502424,1.9501861,1.7233131,1.7136685,1.2425184,2.9338814,2.952778,2.7108198,0
ENSG00000090989.17_2,ENSG00000090989.17,EXOC1,chr4:567197,+,protein_coding,-0.307349,0.8081256,0.0081285,0.2097267,2.3147464,2.622095,4.3094703,3.9544423,3.6814279,4.9139838,5.4260701,5.1399116,0
ENSG00000091039.16_3,ENSG00000091039.16,OSBPL8,chr12:76745,-,protein_coding,-0.387195,0.7646149,0.0342703,0.2993278,2.8578417,3.2450364,6.6307768,6.9236505,5.3007774,7.916687,9.3936473,8.1957752,0
ENSG00000091640.7_2,ENSG00000091640.7,SPAG7,chr17:48625,-,protein_coding,0.3163658,1.2451899,0.0492346,0.3287423,3.5653558,3.24899,10.796067,9.40446,12.517002,8.908477,8.4042573,8.2214439,1
ENSG00000092068.19_4,ENSG00000092068.19,SLC7A8,chr14:23594,-,protein_coding,-0.296358,0.8143055,0.0023875,0.1571562,3.0201983,3.3165563,7.0938794,6.8830737,7.3687109,9.4319722,8.5933383,8.8812672,0
ENSG00000092439.13_4,ENSG00000092439.13,TRPM7,chr15:50844,-,protein_coding,-0.412787,0.7511707,0.044772,0.3197072,2.9323225,3.3451098,7.0224342,7.2904032,5.6875839,8.1786699,10.71488,8.7592744,0
ENSG00000095139.13_2,ENSG00000095139.13,ARCN1,chr11:11844,+,protein_coding,-0.668352,0.6292252,0.0041976,0.1849138,4.5944099,5.2627614,23.493916,26.086381,20.249873,34.760145,38.924085,38.638109,0
ENSG00000095203.14_2,ENSG00000095203.14,EPB41L4B,chr9:111934,-,protein_coding,-0.302427,0.8108872,0.0014692,0.1390335,2.0784428,2.3808697,3.2971546,3.1778928,3.1964556,4.0179743,4.4685545,4.149186,0
ENSG00000095637.21_3,ENSG00000095637.21,SORBS1,chr10:97071,-,protein_coding,-0.30556,0.8091281,0.0001944,0.0943724,0.6585759,0.9641359,0.5965968,0.5634186,0.5757336,0.991527,0.967331,0.895125,0
ENSG00000095951.16_3,ENSG00000095951.16,HIVEP1,chr6:120089,+,protein_coding,-0.815622,0.5681634,0.0413969,0.3138435,1.3001154,2.1157375,0.8818099,2.5528195,1.2334298,3.1881818,3.3537691,3.4648864,0
ENSG00000096654.15_2,ENSG00000096654.15,ZNF184,chr6:274185,-,protein_coding,-0.27669,0.8254827,0.0075213,0.2074702,1.5788666,1.8555567,2.1120163,2.0493222,1.8093991,2.4618324,2.6859445,2.7143246,0
ENSG00000097096.8_2,ENSG00000097096.8,SYDE2,chr1:856225,-,protein_coding,-0.285066,0.820704,0.013483,0.2374656,2.199374,2.4844401,3.8442144,3.7094325,3.2465936,4.594209,4.8378536,4.3663761,0
ENSG00000099795.6_2,ENSG00000099795.6,NDUFB7,chr19:14676,-,protein_coding,0.3004912,1.2315636,0.0442449,0.3187947,6.8795734,6.5790822,107.96217,111.26283,132.46337,98.539597,88.318252,97.303082,1
ENSG00000099901.16_3,ENSG00000099901.16,RANBP1,chr22:20103,+,protein_coding,0.2814441,1.2154109,9.12E-05,0.0866373,4.9676842,4.6862401,30.731125,30.410742,29.73988,24.352078,24.86005,25.028765,1
ENSG00000100029.17_2,ENSG00000100029.17,PES1,chr22:30972,-,protein_coding,0.2771084,1.2117637,0.017127,0.2499474,4.4840461,4.2069378,20.08764,22.11893,21.988015,18.926142,17.021773,16.539719,1
ENSG00000100216.5_2,ENSG00000100216.5,TOMM22,chr22:39077,+,protein_coding,0.2752066,1.2101673,0.0010162,0.1267443,5.5023905,5.227184,43.798972,43.611218,45.605983,36.333883,35.41417,37.658405,1
ENSG00000100271.16_2,ENSG00000100271.16,TTLL1,chr22:43435,-,protein_coding,-0.410347,0.7524425,0.0061233,0.2017888,0.6883732,1.09872,0.6275175,0.4878388,0.7281498,1.2393799,1.177014,1.0149024,0
ENSG00000100485.11_2,ENSG00000100485.11,SOS2,chr14:50583,-,protein_coding,-0.40035,0.7576746,0.0259221,0.2789646,2.1388533,2.5392029,3.6818206,3.6546171,2.9199297,4.3659259,5.4631747,4.6628906,0
ENSG00000100592.15_2,ENSG00000100592.15,DAAM1,chr14:59655,+,protein_coding,-0.29673,0.8140957,0.045867,0.3226997,1.877182,2.1739117,3.0330269,2.7943116,2.2396654,3.3491054,3.7899679,3.4106782,0
ENSG00000100596.6_3,ENSG00000100596.6,SPTLC2,chr14:77972,-,protein_coding,-0.340408,0.7898181,0.0229976,0.2666812,3.5465963,3.887004,11.490871,11.148419,9.5143675,12.8345,14.801609,13.813223,0
ENSG00000100614.17_3,ENSG00000100614.17,PPM1A,chr14:60712,+,protein_coding,-0.526975,0.6940083,0.0263935,0.2809032,2.2831072,2.8100823,4.2588813,3.115484,4.3276656,5.2913497,6.8820907,5.9561979,0
ENSG00000100784.10_3,ENSG00000100784.10,RPS6KA5,chr14:91314,-,protein_coding,-0.36808,0.7748131,0.0101464,0.2182659,0.5873302,0.9554099,0.5320109,0.5565944,0.4222459,0.8393363,1.1350238,0.8567664,0
ENSG00000100804.18_3,ENSG00000100804.18,PSMB5,chr14:23485,-,protein_coding,0.2805127,1.2146265,0.0001957,0.0943724,5.7405609,5.4600482,52.508635,52.311741,52.579217,41.887544,44.136137,43.061501,1
ENSG00000100889.11_2,ENSG00000100889.11,PCK2,chr14:24563,+,protein_coding,-0.76469,0.5885797,0.0085972,0.2113465,3.4349805,4.1996707,10.921502,8.950046,9.6644982,20.188248,14.27306,18.171649,0
ENSG00000101000.5_3,ENSG00000101000.5,PROCR,chr20:33759,+,protein_coding,0.316165,1.2450166,0.0095952,0.2144048,3.7372565,3.4210915,12.432326,12.542208,12.038818,10.646513,8.9548747,9.6003879,1
ENSG00000101104.12_2,ENSG00000101104.12,PABPC1L,chr20:43538,+,protein_coding,-0.320565,0.800756,0.028532,0.2885442,2.3393975,2.6599628,4.2854065,3.4911702,4.4607026,5.0072438,5.3734236,5.5938301,0
ENSG00000101335.9_2,ENSG00000101335.9,MYL9,chr20:35169,+,protein_coding,0.4048982,1.3239955,0.0010989,0.130843,4.5430171,4.138119,21.007728,22.591327,23.402016,16.839828,16.126511,16.866283,1
ENSG00000101447.14_2,ENSG00000101447.14,FAM83D,chr20:37554,+,protein_coding,0.3102854,1.2399529,0.0005963,0.1106916,5.7136751,5.4033897,52.374072,52.640826,49.482046,40.753788,42.149908,41.079579,1
ENSG00000101493.10_3,ENSG00000101493.10,ZNF516,chr18:74070,-,protein_coding,-0.534251,0.6905173,0.0138318,0.2388191,2.2560162,2.7902667,3.5220159,3.8660186,3.9531305,4.864821,6.7122634,6.3185547,0
ENSG00000101577.9_3,ENSG00000101577.9,LPIN2,chr18:29169,-,protein_coding,-0.487731,0.7131456,3.39E-05,0.061109,3.5828547,4.0705861,11.168765,11.090935,10.693212,15.528964,15.727104,16.156913,0
ENSG00000101945.16_2,ENSG00000101945.16,SUV39H1,chrX:48553,+,protein_coding,1.060782,2.086062,0.0002692,0.0943724,3.1963777,2.1355957,7.6178239,7.8522247,9.0964032,3.2013676,3.7205074,3.2781473,1
ENSG00000101972.18_3,ENSG00000101972.18,STAG2,chrX:12309,+,protein_coding,-0.469805,0.7220624,0.0192383,0.2572494,3.5170499,3.9868545,10.228028,11.446785,9.7362321,13.546751,17.366752,13.917291,0
ENSG00000102243.12_2,ENSG00000102243.12,VGLL1,chrX:13561,+,protein_coding,0.3245187,1.2522466,0.0118699,0.2323938,3.7514535,3.4269348,12.139455,12.023075,13.276086,10.378872,8.9024437,10.040504,1
ENSG00000102804.14_4,ENSG00000102804.14,TSC22D1,chr13:45006,-,protein_coding,-0.390048,0.7631041,0.0279352,0.2862563,3.2574697,3.6475179,7.8412511,8.5091365,9.4023991,10.353821,11.23985,13.161811,0
ENSG00000102897.9_2,ENSG00000102897.9,LYRM1,chr16:20911,+,protein_coding,-0.323008,0.7994013,0.0353307,0.3022076,2.2704573,2.5934654,4.1697413,3.3514091,3.9926198,4.8672283,5.6350051,4.6475282,0
ENSG00000102978.12_3,ENSG00000102978.12,POLR2C,chr16:57496,+,protein_coding,0.263568,1.2004439,0.0242403,0.2722243,4.7070344,4.4434664,24.537313,25.714645,25.118668,22.444835,18.782196,21.208967,1
ENSG00000103018.16_3,ENSG00000103018.16,CYB5B,chr16:69458,+,protein_coding,-0.327768,0.7967682,0.0151612,0.2436202,3.5623563,3.8901244,11.766548,9.7203415,11.046093,13.50497,14.483985,13.512186,0
ENSG00000103187.7_2,ENSG00000103187.7,COTL1,chr16:84599,-,protein_coding,0.3059242,1.2362103,0.0193078,0.2575012,4.7183928,4.4124686,23.624968,25.497102,26.961418,22.096479,19.047857,19.856551,1
ENSG00000103351.12_3,ENSG00000103351.12,CLUAP1,chr16:35509,+,protein_coding,-0.315858,0.8033732,0.0279136,0.2862563,0.8966598,1.2125175,0.8793513,0.6781275,1.0461223,1.1995985,1.441901,1.3170798,0
ENSG00000103479.15_3,ENSG00000103479.15,RBL2,chr16:53467,+,protein_coding,-0.37127,0.7731016,0.0072249,0.2074372,2.1894117,2.5606818,3.6773556,3.7998577,3.2267548,4.5937894,5.2673973,4.8577756,0
ENSG00000103852.12_3,ENSG00000103852.12,TTC23,chr15:99676,-,protein_coding,-0.4915,0.7112851,0.0021689,0.1530585,0.9992926,1.4907928,1.0475299,1.0136467,0.9374816,1.5734461,1.9994295,1.8758506,0
ENSG00000104093.13_3,ENSG00000104093.13,DMXL2,chr15:51739,-,protein_coding,-0.419816,0.7475198,0.0321722,0.2958398,1.7311638,2.1509801,2.4184661,2.6116346,1.9638866,3.072926,4.0833771,3.2312606,0
ENSG00000104133.14_4,ENSG00000104133.14,SPG11,chr15:44854,-,protein_coding,-0.3342,0.7932239,0.0189589,0.2567575,2.2074804,2.5416803,3.7793569,3.9544577,3.160906,4.5475844,5.1413096,4.7943023,0
ENSG00000104213.12_2,ENSG00000104213.12,PDGFRL,chr8:174339,+,protein_coding,-0.278021,0.8247216,0.0247311,0.2747088,1.4644842,1.7425051,1.7981085,1.5287344,1.9702515,2.274412,2.540702,2.2315899,0
ENSG00000104231.10_3,ENSG00000104231.10,ZFAND1,chr8:826135,-,protein_coding,-0.501935,0.706159,0.006552,0.2040161,1.8768945,2.3788296,2.7893238,3.0090895,2.2613482,4.0398454,4.4809213,4.0936186,0
ENSG00000104517.12_3,ENSG00000104517.12,UBR5,chr8:103265,-,protein_coding,-0.311501,0.8058032,0.0149133,0.2432408,3.4721792,3.7836798,10.747882,10.473058,9.1403162,12.437592,13.519232,12.388694,0
ENSG00000104518.10_3,ENSG00000104518.10,GSDMD,chr8:144635,+,protein_coding,-0.356235,0.7812006,0.0093707,0.2136778,1.7125358,2.0687708,2.537769,2.0775776,2.2332214,3.3136782,2.9263767,3.3595981,0
